timestamp,source,event_details_change,event_login,event_password_change
2023-10-10 06:12:17.927689239,C1921248691,1,0,0
2023-10-10 19:57:14.584612724,C999393223,0,1,0
2023-10-10 18:25:25.650479964,C1660830591,0,0,1
2023-10-11 09:37:48.429885596,C777863522,0,0,1
2023-10-10 04:02:23.901162284,C2001133685,1,0,0
2023-10-09 21:10:11.392237694,C1530262146,0,1,0
2023-10-11 09:26:26.191654150,C1178726445,1,0,0
2023-10-10 19:42:33.923864603,C52299933,0,1,0
2023-10-11 10:36:28.446989943,C1468001998,1,0,0
2023-10-09 16:41:00.037427495,C874725016,1,0,0
2023-10-11 09:33:43.456388191,C1741615821,0,0,1
2023-10-11 03:52:06.447588007,C1051712338,0,1,0
2023-10-09 20:39:57.398889065,C984099618,0,1,0
2023-10-09 17:49:39.631216684,C1373640509,1,0,0
2023-10-10 19:49:10.956439539,C1780201239,1,0,0
2023-10-09 16:53:36.979597375,C1472480119,0,0,1
2023-10-10 14:45:46.539840416,C369566106,1,0,0
2023-10-10 04:04:21.577302770,C1086957388,0,1,0
2023-10-10 18:48:45.446545732,C1714385979,0,0,1
2023-10-11 03:52:25.786171192,C905744010,1,0,0
2023-10-10 17:20:55.082571792,C603081336,1,0,0
2023-10-09 18:11:25.521238750,C1577104524,0,1,0
2023-10-10 00:36:44.707490837,C576545848,0,1,0
2023-10-11 11:24:53.226647069,C753013685,0,1,0
2023-10-10 13:57:37.380149659,C1100570635,0,1,0
2023-10-10 17:39:32.188639865,C987955759,0,0,1
2023-10-10 00:22:23.630224331,C1611113200,1,0,0
2023-10-10 16:20:05.698276425,C1013313546,1,0,0
2023-10-11 04:31:23.075312128,C634714812,0,1,0
2023-10-11 11:10:58.664981613,C1688605578,0,1,0
2023-10-10 16:06:28.629340658,C248927068,1,0,0
2023-10-09 19:34:51.538746849,C1681589600,0,0,1
2023-10-09 17:44:42.394703750,C1021896897,1,0,0
2023-10-10 11:16:52.565340744,C95082443,0,0,1
2023-10-09 18:33:11.350120516,C1988407051,1,0,0
2023-10-10 23:57:56.921123136,C251602943,0,1,0
2023-10-10 18:33:17.112361721,C1604376835,1,0,0
2023-10-10 00:33:37.336749991,C732771224,0,0,1
2023-10-10 11:26:03.305486967,C99215049,0,1,0
2023-10-10 01:47:08.177889888,C1575842015,0,0,1
2023-10-10 15:26:44.388537695,C655150548,0,0,1
2023-10-10 23:15:26.456984173,C1689772812,0,1,0
2023-10-11 05:48:07.186130696,C168310052,0,0,1
2023-10-10 13:30:46.531300660,C1332125345,1,0,0
2023-10-11 07:02:45.005463503,C1273885837,1,0,0
2023-10-09 16:33:21.273710903,C923919564,1,0,0
2023-10-10 20:16:56.688659808,C678683295,1,0,0
2023-10-10 20:38:48.700793410,C607521473,0,1,0
2023-10-10 04:32:03.899736838,C1203244235,0,1,0
2023-10-11 09:43:58.827189234,C1717543260,1,0,0
2023-10-10 02:26:17.605196039,C1105086283,0,0,1
2023-10-11 14:58:29.899824105,C1788210321,1,0,0
2023-10-10 01:53:21.779370144,C579648989,0,0,1
2023-10-11 13:19:43.257490168,C1936855292,1,0,0
2023-10-10 19:20:41.384784759,C1345265337,0,0,1
2023-10-09 19:35:06.856214575,C735039923,0,0,1
2023-10-10 08:41:06.956297272,C218446443,0,0,1
2023-10-10 12:50:29.313291993,C990997956,0,0,1
2023-10-11 12:48:18.217164161,C1497615115,1,0,0
2023-10-10 00:52:20.809243081,C2038979642,1,0,0
2023-10-09 18:00:16.163923778,C585317135,0,1,0
2023-10-10 00:36:58.019452420,C1768220463,1,0,0
2023-10-10 15:28:15.803097844,C278501873,0,0,1
2023-10-10 05:49:37.817773422,C1807765388,0,1,0
2023-10-09 21:25:28.336863283,C1396978257,1,0,0
2023-10-10 05:32:00.040602446,C1923131377,0,0,1
2023-10-11 13:49:14.518180715,C679458582,1,0,0
2023-10-09 23:56:10.130490745,C1476491893,0,1,0
2023-10-10 08:21:56.720549411,C2084449024,0,1,0
2023-10-10 18:36:23.302602965,C2043823425,0,0,1
2023-10-10 09:10:17.873118618,C1394428191,0,1,0
2023-10-09 15:44:43.242988516,C1040980271,1,0,0
2023-10-11 06:52:36.710984563,C620542168,0,1,0
2023-10-11 04:24:20.535346303,C2070935783,0,0,1
2023-10-10 01:38:51.848766400,C2078460335,1,0,0
2023-10-11 14:20:07.077592538,C360019679,0,1,0
2023-10-10 20:02:13.537579140,C781096653,1,0,0
2023-10-09 20:37:28.277447328,C1255643141,0,1,0
2023-10-10 14:09:07.086872724,C1087747329,0,1,0
2023-10-11 10:24:08.880411317,C1771632349,0,0,1
2023-10-10 04:08:27.096167309,C345996643,1,0,0
2023-10-10 04:44:52.781528527,C1097812196,0,0,1
2023-10-11 08:20:14.320429496,C55178455,0,0,1
2023-10-11 01:47:42.375661372,C1196149230,0,1,0
2023-10-11 00:59:49.900690954,C1978080967,0,1,0
2023-10-10 06:15:45.775977961,C995746715,0,0,1
2023-10-10 12:56:57.774741052,C483009385,0,0,1
2023-10-10 13:51:58.278656778,C96508773,1,0,0
2023-10-10 20:14:47.710977824,C1467731939,0,0,1
2023-10-11 06:34:28.968240994,C70991061,0,1,0
2023-10-11 10:17:20.957244664,C1211514218,0,1,0
2023-10-10 00:55:21.688994585,C450548035,1,0,0
2023-10-11 13:38:38.626299034,C526384621,0,1,0
2023-10-10 23:46:27.605698680,C1435653171,0,1,0
2023-10-09 16:37:02.318598843,C1212956427,1,0,0
2023-10-11 14:32:29.111837488,C193297871,0,1,0
2023-10-11 14:23:12.853130256,C1275518867,0,0,1
2023-10-10 12:29:02.179397081,C1245363669,0,1,0
2023-10-10 09:24:37.003664556,C911735174,1,0,0
2023-10-10 01:29:45.098926171,C326482046,1,0,0
2023-10-11 02:22:17.158683246,C1897689911,0,0,1
2023-10-11 09:23:47.434779907,C404247926,1,0,0
2023-10-09 18:38:30.150805237,C1821681988,0,1,0
2023-10-11 01:01:03.288669884,C208889378,0,0,1
2023-10-10 16:46:14.990163783,C231044523,0,0,1
2023-10-11 07:19:54.426725845,C255101565,0,0,1
2023-10-10 07:04:16.460485290,C885555910,0,1,0
2023-10-10 13:32:34.916890102,C1351087312,1,0,0
2023-10-10 00:02:17.230874407,C121798652,0,1,0
2023-10-11 03:58:28.970135192,C2145933360,1,0,0
2023-10-11 13:04:52.369603957,C1347371891,0,0,1
2023-10-11 01:15:31.631142762,C915430510,0,1,0
2023-10-11 13:53:40.631037660,C1693925346,0,0,1
2023-10-09 22:17:40.100637496,C1979396384,1,0,0
2023-10-09 19:50:27.189612134,C1597422235,0,0,1
2023-10-10 19:19:06.943485620,C1374336520,1,0,0
2023-10-10 07:33:38.343102149,C307655955,0,0,1
2023-10-09 15:50:38.840271298,C280778280,0,1,0
2023-10-10 06:28:17.450544202,C1491288577,0,0,1
2023-10-11 12:29:43.777275236,C947156375,0,1,0
2023-10-09 19:01:59.854302608,C1499019507,0,0,1
2023-10-10 06:24:05.891891664,C554819698,0,0,1
2023-10-10 10:08:44.463843531,C1705346216,0,1,0
2023-10-10 18:07:54.355057377,C131559770,0,0,1
2023-10-10 18:25:04.329387296,C409331076,0,1,0
2023-10-10 14:44:16.327535150,C1373973501,0,0,1
2023-10-11 11:12:06.142056053,C1038733568,1,0,0
2023-10-10 23:20:59.083306220,C737765767,0,0,1
2023-10-10 12:43:08.117123959,C1130847219,0,0,1
2023-10-10 06:39:42.111076865,C817389751,0,0,1
2023-10-11 02:26:05.300695396,C176392439,0,0,1
2023-10-11 04:35:48.181541077,C1935421495,1,0,0
2023-10-10 12:29:48.533670450,C819690995,0,0,1
2023-10-10 00:43:10.659702133,C597262762,1,0,0
2023-10-11 06:17:41.215421257,C2117938225,1,0,0
2023-10-11 07:10:50.636288211,C486343841,0,0,1
2023-10-10 14:31:03.170359660,C1395098424,1,0,0
2023-10-09 18:51:45.888326142,C798268011,0,1,0
2023-10-10 18:29:20.853612764,C371877246,0,0,1
2023-10-11 05:36:52.159593560,C944634193,0,1,0
2023-10-11 09:41:31.260289669,C1722275939,0,1,0
2023-10-09 21:57:36.547484474,C1557689947,0,1,0
2023-10-10 04:48:24.007934620,C1783610571,0,0,1
2023-10-10 18:42:37.279860244,C1776310825,0,0,1
2023-10-11 03:19:10.491447472,C2001133685,0,1,0
2023-10-10 19:43:43.633330694,C1806072501,0,0,1
2023-10-10 06:06:29.545946247,C251449240,0,0,1
2023-10-10 02:38:22.655978663,C1914582232,1,0,0
2023-10-11 04:57:49.300158102,C83204562,0,0,1
2023-10-11 10:56:06.650547717,C1468082478,0,1,0
2023-10-10 19:33:50.198406724,C1305161735,0,0,1
2023-10-10 22:10:55.523855769,C2054744914,1,0,0
2023-10-10 13:00:01.400519735,C1711218892,1,0,0
2023-10-10 16:02:18.508522243,C805469502,0,0,1
2023-10-11 09:36:57.655477988,C546386486,0,0,1
2023-10-11 07:10:29.512616492,C2005297705,0,1,0
2023-10-09 16:28:20.732524050,C1374336520,0,1,0
2023-10-11 06:37:08.355730595,C1543824543,0,0,1
2023-10-09 22:22:34.231915251,C446298173,0,0,1
2023-10-09 22:31:35.546986493,C879949041,0,1,0
2023-10-09 20:26:50.454551009,C356873706,0,0,1
2023-10-10 14:30:19.718112475,C1911293580,0,0,1
2023-10-10 14:15:18.445546903,C2096265838,0,1,0
2023-10-11 10:22:45.563949560,C2038427935,1,0,0
2023-10-11 09:20:34.442178701,C1991820533,0,0,1
2023-10-10 13:03:31.103538296,C1966964007,0,1,0
2023-10-10 17:30:54.866907659,C167330970,1,0,0
2023-10-10 02:45:31.450276530,C545527660,0,0,1
2023-10-11 03:00:48.814707524,C288684762,0,1,0
2023-10-11 09:45:02.979487737,C1087227796,1,0,0
2023-10-10 22:33:07.310824254,C1191832390,0,1,0
2023-10-11 05:42:52.264735921,C1790520611,1,0,0
2023-10-10 16:09:31.997760772,C326482046,1,0,0
2023-10-10 13:48:17.494812988,C627811000,0,0,1
2023-10-09 23:41:47.278163355,C885555910,0,0,1
2023-10-09 16:44:26.411876645,C380911997,0,1,0
2023-10-09 22:41:28.574861912,C1031698099,1,0,0
2023-10-10 01:15:53.867228604,C1784864427,0,1,0
2023-10-11 11:37:32.447812475,C1283534588,0,0,1
2023-10-10 19:30:52.909466035,C2040640036,0,0,1
2023-10-09 15:59:15.519157644,C1715338428,1,0,0
2023-10-10 00:43:25.249914795,C58432631,0,1,0
2023-10-11 00:09:46.639461005,C366397964,1,0,0
2023-10-10 17:59:32.217939556,C1092512638,0,0,1
2023-10-10 18:21:04.323975757,C1700550154,0,0,1
2023-10-11 07:37:15.264875391,C530747890,1,0,0
2023-10-10 23:15:56.638046451,C471003383,0,1,0
2023-10-10 08:27:17.316640887,C1267913176,0,0,1
2023-10-11 05:44:56.772342510,C1233238493,0,1,0
2023-10-11 03:59:23.729815907,C812882942,0,0,1
2023-10-11 07:20:41.525284829,C439601438,0,1,0
2023-10-10 21:10:32.821007620,C1788210321,1,0,0
2023-10-10 20:21:55.281116755,C1108226372,0,1,0
2023-10-10 19:38:05.772115473,C839245179,1,0,0
2023-10-10 10:25:37.545031392,C1459624061,1,0,0
2023-10-10 16:52:31.769072577,C1580559195,0,1,0
2023-10-10 19:08:42.496966393,C2074563683,1,0,0
2023-10-11 09:51:40.478898855,C1294166760,0,0,1
2023-10-09 19:24:57.974145243,C1965496749,1,0,0
2023-10-11 07:37:21.843516220,C1421006824,0,0,1
2023-10-10 01:12:38.678891248,C1750881279,0,1,0
2023-10-11 03:57:05.385014074,C1950237952,1,0,0
2023-10-09 21:43:55.362978927,C1445784416,1,0,0
2023-10-11 00:03:23.012217112,C281893917,1,0,0
2023-10-10 02:13:49.350128136,C539791425,0,1,0
2023-10-10 02:28:07.958370820,C1196579721,0,1,0
2023-10-10 07:06:22.059883824,C99215049,0,0,1
2023-10-10 16:45:50.008630022,C1093826151,0,0,1
2023-10-10 15:29:24.530026056,C744859144,0,1,0
2023-10-10 15:23:49.717478819,C1385780363,0,0,1
2023-10-10 18:13:41.731884113,C1487582791,0,0,1
2023-10-11 15:23:36.138565946,C1457388461,1,0,0
2023-10-09 22:17:43.744879756,C1861439904,1,0,0
2023-10-11 15:10:15.059948787,C1418322275,1,0,0
2023-10-10 02:15:52.553119826,C1830714840,0,0,1
2023-10-10 19:30:01.993857997,C1780829982,1,0,0
2023-10-11 08:51:15.258852521,C1530262146,0,0,1
2023-10-10 23:17:09.772200273,C203802515,0,1,0
2023-10-09 19:36:11.472683553,C218446443,0,1,0
2023-10-10 16:33:34.292045248,C1437990673,0,0,1
2023-10-11 10:45:12.654444487,C352968107,0,0,1
2023-10-10 02:08:50.295681603,C1591587046,0,0,1
2023-10-09 16:43:42.064251866,C156263401,1,0,0
2023-10-10 13:04:45.125322489,C481108455,0,0,1
2023-10-09 16:49:07.241425638,C658256470,0,0,1
2023-10-10 18:53:07.854426685,C1676378077,1,0,0
2023-10-10 20:43:20.260754800,C1897689911,0,0,1
2023-10-10 10:30:43.714929502,C338456981,0,1,0
2023-10-11 03:08:53.845883861,C707845856,1,0,0
2023-10-11 10:42:33.909591997,C1073155388,0,1,0
2023-10-10 05:35:51.460039532,C255101565,0,1,0
2023-10-10 14:01:19.412086694,C732095806,0,0,1
2023-10-10 02:07:40.032583066,C2076439645,0,0,1
2023-10-11 12:26:36.201565148,C1246760376,0,1,0
2023-10-09 23:59:50.796450495,C751786199,0,0,1
2023-10-11 07:39:31.342489140,C1508025585,0,0,1
2023-10-10 23:52:31.918279023,C1954474578,1,0,0
2023-10-10 11:04:14.823837310,C96868586,0,0,1
2023-10-11 06:06:59.312545398,C766494418,0,0,1
2023-10-11 14:38:44.788853020,C861002792,0,0,1
2023-10-09 21:01:18.800865705,C418638324,1,0,0
2023-10-10 23:12:20.368824872,C1707421914,0,0,1
2023-10-10 16:39:44.835224820,C830053540,0,1,0
2023-10-11 12:08:16.619479604,C1615196201,0,1,0
2023-10-10 02:36:41.979057349,C1165454845,1,0,0
2023-10-10 03:16:27.860766277,C1230747575,1,0,0
2023-10-11 09:35:39.078509308,C630871084,0,1,0
2023-10-11 08:36:53.032997261,C1911908507,1,0,0
2023-10-11 06:46:15.395509165,C555482626,0,1,0
2023-10-09 18:08:43.884445958,C1117294574,0,1,0
2023-10-11 12:20:49.445305834,C1765886577,1,0,0
2023-10-10 17:48:03.006762086,C723217997,0,0,1
2023-10-10 15:15:02.985718492,C419754917,1,0,0
2023-10-10 15:00:31.354178260,C1580025618,0,1,0
2023-10-10 03:17:53.456222853,C1931570160,0,1,0
2023-10-10 22:31:17.963015859,C304677660,0,0,1
2023-10-10 06:11:43.495252674,C1394931354,0,1,0
2023-10-11 12:57:51.413095585,C194859196,0,1,0
2023-10-09 20:45:05.255172090,C54550671,0,1,0
2023-10-11 08:35:44.956251390,C196786098,0,1,0
2023-10-09 16:32:29.882729279,C632176173,1,0,0
2023-10-10 07:13:10.289187429,C1857873865,0,0,1
2023-10-10 00:45:07.920049820,C2003246685,0,0,1
2023-10-11 13:51:00.129030166,C1890779401,1,0,0
2023-10-11 04:38:19.799633183,C1871125244,0,0,1
2023-10-10 21:54:56.481465898,C1465698425,1,0,0
2023-10-11 07:41:02.302726329,C73919470,0,1,0
2023-10-09 16:36:05.683744619,C1128965136,0,1,0
2023-10-09 16:43:08.115118920,C758849918,0,1,0
2023-10-10 14:04:58.300912945,C1517749848,0,1,0
2023-10-11 06:11:15.453961063,C1789457872,0,0,1
2023-10-10 21:36:24.070585796,C1741615821,0,0,1
2023-10-10 07:09:42.612518845,C1966686053,1,0,0
2023-10-11 07:38:26.950859127,C1975714155,1,0,0
2023-10-10 12:21:28.919001633,C658256470,0,0,1
2023-10-10 17:20:24.711866705,C99017559,0,0,1
2023-10-11 07:00:19.610885772,C914250073,0,0,1
2023-10-09 20:22:45.024499472,C1445784416,0,1,0
2023-10-10 06:22:42.043134493,C915430510,0,1,0
2023-10-09 20:37:10.772122306,C128008012,1,0,0
2023-10-11 09:22:35.218171753,C1573211398,1,0,0
2023-10-10 11:02:25.949004970,C1460082550,0,0,1
2023-10-10 17:28:06.634817166,C827350474,0,1,0
2023-10-11 13:30:20.318583215,C2118328869,0,0,1
2023-10-10 07:57:50.133894592,C1565058518,0,0,1
2023-10-11 04:36:06.614584928,C1379814778,1,0,0
2023-10-10 02:11:27.234342394,C914250073,1,0,0
2023-10-10 19:25:39.497438996,C2079384186,0,0,1
2023-10-10 11:14:51.669570581,C1525483242,0,1,0
2023-10-10 14:11:48.489798698,C298468219,0,1,0
2023-10-10 15:35:07.223185955,C260437492,0,0,1
2023-10-10 07:10:04.726516425,C859628493,0,0,1
2023-10-10 13:40:11.177762800,C2027631548,0,0,1
2023-10-09 20:04:28.849322626,C2059136665,0,0,1
2023-10-11 00:14:54.981791166,C917831365,0,1,0
2023-10-11 10:46:49.738646605,C1790520611,1,0,0
2023-10-11 08:08:17.288307016,C339181872,0,1,0
2023-10-11 02:10:51.675742436,C588719767,0,1,0
2023-10-10 06:48:52.471218095,C1082462651,0,1,0
2023-10-09 22:43:57.674834630,C95082443,0,0,1
2023-10-10 16:56:09.418472607,C1453715655,0,0,1
2023-10-11 05:28:16.041625991,C268686998,1,0,0
2023-10-10 22:55:17.038126887,C1177478758,1,0,0
2023-10-10 16:02:07.993837852,C630302845,1,0,0
2023-10-10 13:40:55.988818915,C1797237747,0,1,0
2023-10-11 08:08:47.555626509,C1952580233,0,0,1
2023-10-10 01:16:10.837608053,C1476505660,1,0,0
2023-10-11 04:10:06.252464487,C136606306,0,0,1
2023-10-11 15:13:13.540006949,C842799656,1,0,0
2023-10-09 22:10:27.269838351,C490558731,0,1,0
2023-10-10 12:13:52.862792888,C193924578,0,0,1
2023-10-10 14:51:58.264148106,C2128589842,0,1,0
2023-10-11 01:46:47.678321711,C1342849651,0,1,0
2023-10-10 01:58:34.575195832,C987620594,1,0,0
2023-10-11 08:08:01.892536594,C663226052,1,0,0
2023-10-10 01:01:03.551283499,C267284908,1,0,0
2023-10-10 20:44:59.993263290,C805469502,0,0,1
2023-10-10 06:12:17.610024923,C665566426,0,1,0
2023-10-10 11:26:10.116255542,C1689772812,0,0,1
2023-10-10 18:06:28.396227528,C69317479,1,0,0
2023-10-10 18:04:37.219940076,C1158233054,0,0,1
2023-10-10 15:16:47.262998352,C1496334304,0,1,0
2023-10-11 13:36:56.005638624,C451189693,0,1,0
2023-10-09 23:42:09.721671154,C1287167517,0,0,1
2023-10-10 05:56:50.262058483,C1100510913,0,0,1
2023-10-10 19:11:41.623430530,C1882920635,0,1,0
2023-10-11 08:43:38.288690541,C1680004438,0,0,1
2023-10-10 07:36:29.048421244,C201406562,1,0,0
2023-10-10 01:11:32.976920696,C344259725,0,1,0
2023-10-10 05:56:48.299273993,C1351458855,0,0,1
2023-10-10 14:33:07.443713264,C1388726904,1,0,0
2023-10-11 13:28:43.022215208,C1771717627,0,0,1
2023-10-09 19:09:16.295871823,C484268062,0,0,1
2023-10-11 12:47:00.966923757,C2087715408,0,0,1
2023-10-10 18:39:58.655004651,C1821035128,0,0,1
2023-10-10 12:01:09.772727999,C1051356798,0,0,1
2023-10-10 19:06:27.600347270,C298468219,0,0,1
2023-10-10 09:02:33.545661573,C750714109,0,1,0
2023-10-10 18:17:29.556749811,C1228110352,0,1,0
2023-10-11 06:13:40.035076131,C771874671,0,0,1
2023-10-10 20:27:18.735670492,C653252303,0,1,0
2023-10-10 12:20:02.832134278,C1461183154,0,0,1
2023-10-11 08:32:32.883428070,C1232356156,0,0,1
2023-10-11 13:41:18.224664703,C346030769,1,0,0
2023-10-10 05:26:52.380695344,C476313806,0,1,0
2023-10-10 19:52:52.104125176,C1771706228,0,0,1
2023-10-09 15:41:18.871413070,C2104185147,0,1,0
2023-10-09 21:33:46.233342493,C199512926,1,0,0
2023-10-11 14:29:03.189810556,C978637475,1,0,0
2023-10-10 05:00:39.486646073,C1097812196,0,1,0
2023-10-11 05:05:35.657307546,C507831273,0,0,1
2023-10-10 09:47:50.730475880,C206074131,1,0,0
2023-10-09 23:41:42.539535002,C1117294574,0,1,0
2023-10-11 14:21:09.727974281,C1201696181,0,1,0
2023-10-10 08:42:01.293286137,C1050663079,1,0,0
2023-10-09 18:29:43.321481254,C369115109,0,1,0
2023-10-10 15:57:05.476834625,C1607207670,0,1,0
2023-10-10 13:53:03.129698907,C839245179,1,0,0
2023-10-10 07:45:53.979660531,C514864285,0,1,0
2023-10-10 12:08:06.701000273,C1067668919,0,0,1
2023-10-09 20:11:33.719996310,C490238464,0,1,0
2023-10-11 14:26:50.607792877,C577335130,1,0,0
2023-10-10 16:56:20.788153529,C10263180,0,0,1
2023-10-10 21:16:27.900350661,C55178455,0,0,1
2023-10-10 09:33:03.992500311,C1512444326,0,1,0
2023-10-11 06:52:25.178262075,C662396672,0,0,1
2023-10-09 23:17:32.586686833,C289617636,0,1,0
2023-10-09 18:41:23.449192371,C1088464518,0,0,1
2023-10-10 18:06:16.244359434,C2013871968,1,0,0
2023-10-11 02:16:21.499586610,C1059874896,0,1,0
2023-10-10 20:27:14.507880561,C1814870538,1,0,0
2023-10-11 03:36:52.480586522,C1757210259,1,0,0
2023-10-10 15:43:01.714054290,C1914083426,1,0,0
2023-10-09 18:26:24.157742032,C688041542,0,0,1
2023-10-10 00:06:42.272362041,C423454023,0,0,1
2023-10-10 01:31:30.636567797,C47652503,0,1,0
2023-10-10 10:45:22.680613053,C2011875751,0,0,1
2023-10-10 06:20:07.351076228,C1865204568,0,0,1
2023-10-10 19:11:37.542603054,C1049562739,1,0,0
2023-10-10 12:37:01.356638393,C951578955,1,0,0
2023-10-10 19:09:15.610161379,C1762043633,0,0,1
2023-10-10 23:00:55.909075624,C306854291,1,0,0
2023-10-10 05:33:04.899828690,C106333716,0,1,0
2023-10-10 05:44:06.650590540,C1587738251,1,0,0
2023-10-10 17:09:50.652879584,C1108787528,1,0,0
2023-10-09 17:01:16.756227363,C2109595609,0,1,0
2023-10-11 02:39:02.281607675,C1680004438,0,0,1
2023-10-10 06:58:08.201032146,C2084933658,0,1,0
2023-10-11 07:29:19.678451206,C1142956269,0,1,0
2023-10-09 23:35:17.995774866,C1192557067,0,0,1
2023-10-10 11:43:20.975392604,C1686676187,0,1,0
2023-10-10 12:01:18.211413734,C1107442215,0,0,1
2023-10-10 10:48:59.861891207,C1734948367,0,0,1
2023-10-11 08:13:36.416857443,C86186949,0,0,1
2023-10-11 04:55:54.956599814,C1986046665,0,1,0
